Palo Verde,3.937,33,112,power in gigawatts
Browns Ferry,3.704,34,87,
South Texas,2.56,28,96,
Oconee,2.538,34,82,
Susquehanna,2.514,41,76,
McGuire,2.43,35,80,
Watts Bar,2.339,35,84,
Sequoyah,2.317,35,85,
Salem,2.304,39,75,
Byron,2.3,42,89,
Limerick,2.264,40,75,
Catawba,2.258,35,81,
Braidwood,2.242,41,88,
Diablo Canyon,2.24,35,120,
LaSalle,2.234,41,88,
Vogtle,2.234,33,81,
Peach Bottom,2.234,39,76,
Comanche Peak,2.208,32,97,
Donald C. Cook,2.155,41,86,
Indian Point,2.083,41,73,
Millstone,2.037,41,72,
Saint Lucie,2.004,27,80,
Brunswick,1.98,33,78,
Beaver Valley,1.89,40,80,
Dresden,1.885,41,88,
Quad Cities,1.88,41,90,
Edwin I. Hatch,1.848,31,82,
North Anna,1.79,38,77,
Arkansas Nuclear One,1.776,35,93,
Nine Mile Point,1.761,43,76,
Joseph M. Farley,1.757,31,85,
Calvert Cliffs,1.736,38,76,
Surry,1.598,37,76,
Grand Gulf,1.5,32,91,
Turkey Point,1.386,25,80,
Callaway,1.3,38,91,
Perry,1.256,41,81,
Wolf Creek,1.25,38,95,
Seabrook,1.244,42,70,
Enrico Fermi,1.198,41,83,
Waterford,1.18,29,90,
Columbia,1.17,46,119,
Clinton,1.098,40,88,
Prairie Island,1.096,44,92,
Hope Creek,1.059,39,75,
Point Beach,1.026,44,87,
